Word,Frequency,CEFR Level,Examples
stimulera,25,A2,
kraftfull,25,A2,
utöka,25,A2,
angripa,25,A2,
utseende,25,A2,
promenad,25,A2,
universum,25,A2,
vanligtvis,25,A2,
pensionär,25,A2,
redo,25,A2,
järnväg,25,A2,
jämn,25,A2,
utbyte,25,A2,
öppenhet,25,A2,
grundval,25,A2,
attackera,25,A2,
slita,25,A2,
förskola,25,A2,
föregående,25,A2,
föreskriva,25,A2,
inspiration,25,A2,
anhängare,25,A2,
hyra,25,A2,e.g. hyra ut
kärna,25,A2,
över huvud taget,25,A2,
löpa,25,A2,
blad,25,A2,
gårdag,25,A2,e.g. under gårdagen
tillföra,25,A2,
trovärdighet,25,A2,
varv,25,A2,
värdighet,25,A2,
dans,25,A2,
osäkerhet,25,A2,
enstaka,25,A2,
flyg,25,A2,
vana,25,A2,
spänning,25,A2,
anfall,25,A2,
utarbeta,25,A2,
skrämma,25,A2,
nyckel,25,A2,
skribent,25,A2,
garanti,25,A2,
sakta,25,A2,
tillsätta,25,A2,
tvekan,25,A2,
tand,24,A2,
yrka,24,A2,
tacksam,24,A2,
tävla,24,A2,
bortom,24,A2,
utbilda,24,A2,
hemland,24,A2,
utav,24,A2,
avvisa,24,A2,
potentiell,24,A2,
sovjetisk,24,A2,
skepp,24,A2,
utgång,24,A2,
omedelbar,24,A2,
partner,24,A2,
rejält,24,A2,
kapacitet,24,A2,
genomsnitt,24,A2,
värdig,24,A2,
gymnasium,24,A2,
umgås,24,A2,
knä,24,A2,
element,24,A2,
fredlig,24,A2,
smal,24,A2,
gubbe,24,A2,
arrangera,24,A2,
skugga,24,A2,
pressa,24,A2,
självständighet,24,A2,
densamma,24,A2,
slutlig,24,A2,
tvivel,24,A2,e.g. utan tvivel
fälla,24,A2,
smaka,24,A2,
näst,24,A2,
utbud,24,A2,
opinion,24,A2,
värdera,24,A2,
allvarligt,24,A2,
formell,24,A2,
dagligen,24,A2,
ursprungligen,24,A2,
vidare,24,A2,
fördela,24,A2,
ovanligt,24,A2,
reducera,24,A2,
vanligt,24,A2,
skadestånd,24,A2,
kopiera,24,A2,
övergång,24,A2,
anhörig,24,A2,
ångest,24,A2,
vakt,24,A2,
förhandla,24,A2,
koncentrera,24,A2,e.g. koncentrera sig
tabell,24,A2,
önskan,24,B1,
konsert,24,B1,
teckning,24,B1,
avgå,23,B1,
grav,23,B1,
agenda,23,B1,
samfund,23,B1,
krets,23,B1,
kunglig,23,B1,
anmälan,23,B1,
inneha,23,B1,
soffa,23,B1,
stabilitet,23,B1,
förnuft,23,B1,
därav,23,B1,
tredjedel,23,B1,
ovanstående,23,B1,
trovärdig,23,B1,
strunta,23,B1,e.g. strunta i
akademisk,23,B1,
permanent,23,B1,
nyttig,23,B1,
invändning,23,B1,
våning,23,B1,
långsamt,23,B1,
vild,23,B1,
propaganda,23,B1,
exemplar,23,B1,
resolution,23,B1,
ekonomiskt,23,B1,
därpå,23,B1,
formulering,23,B1,
ihjäl,23,B1,
såväl som,23,B1,
instämma,23,B1,
halvår,23,B1,
debattera,23,B1,
idiot,23,B1,
yttersta,23,B1,
intill,23,B1,
torr,23,B1,
söt,23,B1,
socialist,23,B1,
anordna,23,B1,
besviken,23,B1,
lektion,23,B1,
ledsen,23,B1,
grattis,23,B1,
tragisk,23,B1,
teater,23,B1,
försäkra,23,B1,
ideal,23,B1,
vice,23,B1,
hantering,23,B1,
målsättning,23,B1,
begripa,23,B1,
upphov,23,B1,
kränka,23,B1,
i morse,23,B1,
hals,23,B1,
mån,23,B1,e.g. i mån av
stam,23,B1,
journalistik,23,B1,
intäkt,23,B1,
mjuk,23,B1,
Bproper name,23,B1,
grå,23,B1,
profil,23,B1,
krossa,23,B1,
partiledare,23,B1,
centimeter,23,B1,
övertyga,23,B1,
romersk,23,B1,
sörja,23,B1,
inspirera,23,B1,
övertygelse,23,B1,
stackars,23,B1,
sänkning,22,B1,
potential,22,B1,
antagande,22,B1,
tilldela,22,B1,
biljett,22,B1,
komplex,22,B1,
begäran,22,B1,
arena,22,B1,
kust,22,B1,
åtal,22,B1,
dimension,22,B1,
internationellt,22,B1,
nationellt,22,B1,
hållning,22,B1,
gen,22,B1,
lugn,22,B1,
döpa,22,B1,
fantasi,22,B1,
spets,22,B1,
avsätta,22,B1,
fundering,22,B1,
kombinera,22,B1,
observera,22,B1,
intressera,22,B1,e.g. intressera sig
uppåt,22,B1,
fas,22,B1,
dop,22,B1,
professionell,22,B1,
klippa,22,B1,e.g. klippa sig
trist,22,B1,
ombord,22,B1,
sparka,22,B1,
klimatförändring,22,B1,
undervisa,22,B1,
dåvarande,22,B1,
varning,22,B1,
ton,22,B1,
tänkbar,22,B1,
villig,22,B1,
station,22,B1,
släkting,22,B1,
övrigt,22,B1,"e.g. i övrigt, för övrigt"
giltig,22,B1,
gudomlig,22,B1,
objektiv,22,B1,
brand,22,B1,
meningslös,22,B1,
yttra,22,B1,
minskning,22,B1,
axel,22,B1,
försämra,22,B1,
motor,22,B1,
i och med,22,B1,
konstruktion,22,B1,
arkiv,22,B1,
äventyr,22,B1,
Sverige,22,B1,
humor,22,B1,
like,22,B1,e.g. utan dess like
paragraf,22,B1,
odla,22,B1,
erbjudande,22,B1,
vidga,22,B1,
volym,22,B1,
motsätta sig,22,B1,
missbruk,22,B1,
utvidga,22,B1,
snarast,22,B1,
uppmaning,22,B1,
kram,22,B1,
intervjua,22,B1,
livsmedel,22,B1,
anklagelse,22,B1,
cykla,22,B1,
samordning,22,B1,
dessvärre,22,B1,
oklar,22,B1,
företeelse,21,B1,
offra,21,B1,
lager,21,B1,
arbetsliv,21,B1,
bränsle,21,B1,
finanskris,21,B1,
nödvändigtvis,21,B1,
gott om,21,B1,
medeltid,21,B1,e.g. medeltiden
strävan,21,B1,
hastighet,21,B1,
kö,21,B1,
medvetande,21,B1,
producent,21,B1,
så pass,21,B1,
vetande,21,B1,
i mitten av,21,B1,
dylik,21,B1,
installera,21,B1,
utge,21,B1,
förberedelse,21,B1,
fördom,21,B1,
synnerligen,21,B1,
i närheten av,21,B1,
åtagande,21,B1,
tillkännage,21,B1,
kaos,21,B1,
mästare,21,B1,
utmana,21,B1,
drift,21,B1,
hundratal,21,B1,
måne,21,B1,
bita,21,B1,
hjälte,21,B1,
skänka,21,B1,
tillämplig,21,B1,
betydelsefull,21,B1,
synsätt,21,B1,
ström,21,B1,
förse,21,B1,
mätning,21,B1,
massiv,21,B1,
atmosfär,21,B1,
mall,21,B1,
personlighet,21,B1,
gren,21,B1,
väldig,21,B1,
effektivt,21,B1,
vanligen,21,B1,
koncept,21,B1,
förebild,21,B1,
uppenbart,21,B1,
recept,21,B1,
föreläsning,21,B1,
antisemitism,21,B1,
geografisk,21,B1,
grafisk,21,B1,
upplysning,21,B1,
general,21,B1,
administration,21,B1,
bröst,21,B1,
tills,21,B1,
patent,21,B1,
befogenhet,21,B1,
skarp,21,B1,
islamisk,21,B1,
vem som helst,21,B1,
förverkliga,21,B1,
prioritering,21,B1,
vistas,21,B1,
regelbundet,21,B1,
depression,20,B1,
effektivitet,20,B1,
inne,20,B1,
likväl,20,B1,
blandning,20,B1,
datera,20,B1,
final,20,B1,
tjock,20,B1,
erövra,20,B1,
höger,20,B1,e.g. till höger
sträcka,20,B1,
vaka,20,B1,
polsk,20,B1,
bomb,20,B1,
tår,20,B1,
fackförening,20,B1,
placering,20,B1,
huvudsaklig,20,B1,
avfall,20,B1,
gigantisk,20,B1,
väntan,20,B1,
turnering,20,B1,
uppvärmning,20,B1,
djup,20,B1,
praxis,20,B1,
okej,20,B1,
maximal,20,B1,
konstitution,20,B1,
otrolig,20,B1,
fruktansvärd,20,B1,
straffa,20,B1,
sådär,20,B1,
nödvändighet,20,B1,
medlemsland,20,B1,
översyn,20,B1,
blind,20,B1,
front,20,B1,
fördöma,20,B1,
synlig,20,B1,
fint,20,B1,
skapelse,20,B1,
rasa,20,B1,
verksam,20,B1,
avlida,20,B1,
fullkomligt,20,B1,
teoretisk,20,B1,
flyta,20,B1,
urval,20,B1,
binda,20,B1,
fett,20,B1,
erkännande,20,B1,
hälsning,20,B1,
idrott,20,B1,
debattartikel,20,B1,
belysa,20,B1,
emellan,20,B1,
övervaka,20,B1,
lagom,20,B1,
sömn,20,B1,
proletariat,20,B1,
önskemål,20,B1,
förlåta,20,B1,
sammanlagt,20,B1,
slav,20,B1,
näsa,20,B1,
däribland,20,B1,
export,20,B1,
nedgång,20,B1,
vinkel,20,B1,
experiment,20,B1,
arbetstid,20,B1,
flagga,20,B1,
uppdatera,20,B1,
block,20,B1,
feminism,20,B1,
skattebetalare,20,B1,
globalisering,20,B1,
miljontals,20,B1,
obehaglig,20,B1,
ondska,20,B1,
önskvärd,20,B1,
mysig,20,B1,
norr,20,B1,e.g. i norr
andning,20,B1,
motta,20,B1,
utspela sig,20,B1,
exakt,20,B1,
elit,20,B1,
inverkan,20,B1,
akut,20,B1,
kvarstå,20,B1,
troligtvis,20,B1,
konkurs,20,B1,e.g. gå i konkurs
center,20,B1,
än så länge,20,B1,
dramatisk,20,B1,
låtsas,20,B1,
underlig,20,B1,
förlängning,20,B1,
segla,20,B1,
försiktig,20,B1,
himla,20,B1,
inbördeskrig,19,B1,
vid sidan av,19,B1,
grym,19,B1,
tunn,19,B1,
grundlag,19,B1,
realistisk,19,B1,
tvätta,19,B1,e.g. tvätta sig
enormt,19,B1,
litterär,19,B1,
mobiltelefon,19,B1,
framkomma,19,B1,
misshandel,19,B1,
skildra,19,B1,
anpassning,19,B1,
redaktör,19,B1,
behörig,19,B1,
last,19,B1,
arbetarrörelse,19,B1,
liberalism,19,B1,
presentation,19,B1,
stress,19,B1,
försörja,19,B1,
objekt,19,B1,
omslag,19,B1,
absurd,19,B1,
trappa,19,B1,
offentligt,19,B1,
röka,19,B1,
valrörelse,19,B1,
anfalla,19,B1,
spåra,19,B1,
upplaga,19,B1,
ordentlig,19,B1,
klä,19,B1,e.g. klä av sig/klä på sig
ambassad,19,B1,
konkurrera,19,B1,
ovanför,19,B1,
skämt,19,B1,
tända,19,B1,
anslutning,19,B1,
backa,19,B1,
loss,19,B1,
samvete,19,B1,
fastän,19,B1,
årtionde,19,B1,
tomt,19,B1,
avsevärt,19,B1,
rita,19,B1,
värt,19,B1,
register,19,B1,
rörlighet,19,B1,
ignorera,19,B1,
befria,19,B1,
först och främst,19,B1,
retorik,19,B1,
leende,19,B1,
olycklig,19,B1,
säkerligen,19,B1,
abort,19,B1,
taktik,19,B1,
beteckna,19,B1,
lärjunge,19,B1,
stadga,19,B1,
långsam,19,B1,
oberoende av,19,B1,
utlänning,19,B1,
spelning,19,B1,
godkännande,19,B1,
fet,19,B1,
hovrätt,19,B1,
tiotal,19,B1,
skivbolag,19,B1,
stycke,19,B1,
tempo,19,B1,
påve,19,B1,
kant,19,B1,
turist,19,B1,
predika,19,B1,
reflektera,19,B1,
folkgrupp,19,B1,
rektor,19,B1,
klargöra,19,B1,
neutral,19,B1,
laglig,19,B1,
tendera,19,B1,
utrikespolitik,19,B1,
glädja,19,B1,
rödgrön,19,B1,
segra,19,B1,
inrikta,19,B1,e.g. inrikta sig
monopol,19,B1,
konkurrent,19,B1,
plattform,19,B1,
skådespelare,19,B1,
störning,18,B1,
remissinstans,18,B1,
rutin,18,B1,
dal,18,B1,
studio,18,B1,
användbar,18,B1,
lagförslag,18,B1,
självfallet,18,B1,
ömsesidig,18,B1,
förvåna,18,B1,
flaska,18,B1,
packa,18,B1,
reportage,18,B1,
skylt,18,B1,
platta,18,B1,
välsignelse,18,B1,
cell,18,B1,
i förväg,18,B1,
kopp,18,B1,
bortse,18,B1,e.g. bortse från ngt
etik,18,B1,
mördare,18,B1,
med stöd av,18,B1,
vid,18,B1,
förintelse,18,B1,e.g. förintelsen
redogöra,18,B1,e.g. redogöra för
auktoritet,18,B1,
avslå,18,B1,
hud,18,B1,
välstånd,18,B1,
rättfärdig,18,B1,
därvid,18,B1,
tillgodose,18,B1,
mental,18,B1,
försvarsmakt,18,B1,
kollektivavtal,18,B1,
svaghet,18,B1,
frågeställning,18,B1,
motsvarighet,18,B1,
slutändan,18,B1,e.g. i slutändan
bitter,18,B1,
utanförskap,18,B1,
åtskillig,18,B1,
koldioxid,18,B1,
mässa,18,B1,
rå,18,B1,
tvivla,18,B1,
höjning,18,B1,
konjunktur,18,B1,
nöje,18,B1,
attraktiv,18,B1,
reflektion,18,B1,
samråd,18,B1,
afrikansk,18,B1,
kontroversiell,18,B1,
ruta,18,B1,
folklig,18,B1,
framträda,18,B1,
vis,18,B1,
förlänga,18,B1,
spegla,18,B1,
frånvaro,18,B1,
symptom,18,B1,
bokstav,18,B1,
webbläsare,18,B1,
skrivelse,18,B1,
barndom,18,B1,
usel,18,B1,
folkmord,18,B1,
test,18,B1,
till känna,18,B1,
arbetsuppgift,18,B1,
illegal,18,B1,
städa,18,B1,
uppvisa,18,B1,
väska,18,B1,
ärligt,18,B1,
historiskt,18,B1,
upphovsman,18,B1,
lock,18,B1,
tes,18,B1,
bekostnad,18,B1,
info,18,B1,(vardagligt)
skadlig,18,B1,
ansöka,18,B1,
industriell,18,B1,
köpare,18,B1,
börs,18,B1,
beklaga,18,B1,
korruption,18,B1,
uppföra,18,B1,e.g. uppföra sig
arbetsförmedling,18,B1,
fria,18,B1,
britt,18,B1,
kontinent,18,B1,
låda,18,B1,
bevaka,18,B1,
besparing,18,B1,
redovisning,18,B1,
variation,18,B1,
skratt,18,B1,
naken,18,B1,
byggande,18,B1,
konstruktiv,18,B1,
integrera,18,B1,
slump,17,B1,
mottagare,17,B1,
återgå,17,B1,
i likhet med,17,B1,
leverantör,17,B1,
storm,17,B1,
pirat,17,B1,
svänga,17,B1,
bifall,17,B1,
instruktion,17,B1,
paus,17,B1,
rationell,17,B1,
överstiga,17,B1,
skärpa,17,B1,
tillverkare,17,B1,
följaktligen,17,B1,
innan,17,B1,
misstanke,17,B1,
omdöme,17,B1,
kod,17,B1,
server,17,B1,
magisk,17,B1,
sträng,17,B1,
vad som helst,17,B1,
dagbok,17,B1,
radera,17,B1,
anknytning,17,B1,
häromdagen,17,B1,
innovation,17,B1,
gran,17,B1,
uppföljning,17,B1,
grabb,17,B1,
frukta,17,B1,
tvist,17,B1,
innan,17,B1,
van,17,B1,
dubbelt,17,B1,
mild,17,B1,
drivkraft,17,B1,
tjänare,17,B1,
nationalism,17,B1,
moln,17,B1,
ordförandeskap,17,B1,
såvitt,17,B1,
mekanism,17,B1,
minsann,17,B1,
vaccin,17,B1,
filosof,17,B1,
division,17,B1,
belägen,17,B1,
tåla,17,B1,
avdrag,17,B1,
koloni,17,B1,
sannerligen,17,B1,
till förmån för,17,B1,
cancer,17,B1,
förföljelse,17,B1,
byråkrati,17,B1,
mobil,17,B1,
tillsyn,17,B1,
ett,17,B1,
sur,17,B1,
nazism,17,B1,
rösträtt,17,B1,
somlig,17,B1,
utredare,17,B1,
stadium,17,B1,
dagis,17,B1,
färsk,17,B1,
positivt,17,B1,
livsstil,17,B1,
pressmeddelande,17,B1,
klyfta,17,B1,
skapande,17,B1,
konstnärlig,17,B1,
pinsam,17,B1,
konstant,17,B1,
åberopa,17,B1,
arrangemang,17,B1,
varifrån,17,B1,
jurist,17,B1,
lagra,17,B1,
påtaglig,17,B1,
tillgänglighet,17,B1,
pedagogisk,17,B1,
skita,17,B1,(vardagligt)
kärnvapen,17,B1,
plikt,17,B1,
företräda,17,B1,
mjölk,17,B1,
policy,17,B1,
ångra,17,B1,
apostel,17,B1,
ingripa,17,B1,
tröttna,17,B1,
utvidgning,17,B1,
kvarter,17,B1,
flexibel,17,B1,
motionär,17,B1,
ideell,17,B1,
insyn,17,B1,
bosatt,17,B1,
filosofisk,17,B1,
inspelning,17,B1,
reell,17,B1,
generera,17,B1,
krypa,16,B1,
kränkning,16,B1,
trogen,16,B1,
underteckna,16,B1,
stilla,16,B1,
invasion,16,B1,
enhetlig,16,B1,
not,16,B1,
förebygga,16,B1,
lukta,16,B1,
humanitär,16,B1,
intelligent,16,B1,
besvär,16,B1,
flotta,16,B1,
turkisk,16,B1,
mandatperiod,16,B1,
civilisation,16,B1,
ursäkta,16,B1,
demonstrera,16,B1,
godta,16,B1,
andas,16,B1,
böter,16,B1,(plural)
lärdom,16,B1,
kyla,16,B1,
ordinarie,16,B1,
delegation,16,B1,
suga,16,B1,
tränare,16,B1,
användande,16,B1,
arbetsgrupp,16,B1,
operatör,16,B1,
reporter,16,B1,
tortyr,16,B1,
kapten,16,B1,
forska,16,B1,
avkastning,16,B1,
genomsnittlig,16,B1,
jägare,16,B1,
makthavare,16,B1,
löjlig,16,B1,
skönhet,16,B1,
orimlig,16,B1,
matematik,16,B1,
officiellt,16,B1,
rensa,16,B1,
utvärdera,16,B1,
onekligen,16,B1,
tonåring,16,B1,
dagsläge,16,B1,e.g. i dagsläget
entreprenör,16,B1,
kines,16,B1,
elände,16,B1,
glida,16,B1,
stiftelse,16,B1,
frivilligt,16,B1,
introducera,16,B1,
korrekt,16,B1,
villigt,16,B1,
friskola,16,B1,
smula,16,B1,
försvåra,16,B1,
kyrklig,16,B1,
oväntad,16,B1,
rikedom,16,B1,
delstat,16,B1,
gång på gång,16,B1,
illustrera,16,B1,
centralbank,16,B1,
grannland,16,B1,
rasist,16,B1,
ägande,16,B1,
kredit,16,B1,
rom,16,B1,
storstad,16,B1,
tveka,16,B1,
överföring,16,B1,
katolik,16,B1,
tät,16,B1,
fotografi,16,B1,
förare,16,B1,
historiker,16,B1,
misslyckande,16,B1,
present,16,B1,
dödsstraff,16,B1,
evighet,16,B1,
enighet,16,B1,
torn,16,B1,
förkasta,16,B1,
humör,16,B1,
hemskt,16,B1,
moment,16,B1,
allihop,16,B1,
fritid,16,B1,
rapportering,16,B1,
stöld,16,B1,
konkurrenskraft,16,B1,
psykologisk,16,B1,
alternativt,16,B1,
direktör,16,B1,
skeptisk,16,B1,
bakåt,16,B1,
lapp,16,B1,
anlita,16,B1,
avfärda,16,B1,
likadant,16,B1,
separat,16,B1,
överensstämma,15,B1,
finansminister,15,B1,
format,15,B1,
ogilla,15,B1,
omvandla,15,B1,
argumentation,15,B1,
likadan,15,B1,
tavla,15,B1,
kännedom,15,B1,
programvara,15,B1,
skattesänkning,15,B1,
jämlikhet,15,B1,
chefredaktör,15,B1,
säljare,15,B1,
duga,15,B1,
negativt,15,B1,
arkitekt,15,B1,
livad,15,B1,
passagerare,15,B1,
ekonom,15,B1,
läsvärd,15,B1,
obegriplig,15,B1,
skam,15,B1,
skicklig,15,B1,
störta,15,B1,
överta,15,B1,
feminist,15,B1,
orättvisa,15,B1,
stadsdel,15,B1,
årligen,15,B1,
utbyggnad,15,B1,
beskattning,15,B1,
återge,15,B1,
koka,15,B1,
taliban,15,B1,
skara,15,B1,
bröllop,15,B1,
mormor,15,B1,
pasta,15,B1,
itu,15,B1,e.g. ta itu med
fan,15,B1,e.g. sportfans
syskon,15,B1,
tillverkning,15,B1,
gitarr,15,B1,
diagnos,15,B1,
häftig,15,B1,
överklaga,15,B1,
strejk,15,B1,
tvång,15,B1,
dödsfall,15,B1,
import,15,B1,
formellt,15,B1,
rund,15,B1,
sambo,15,B1,
teknologi,15,B1,
iransk,15,B1,
någorlunda,15,B1,
genomgång,15,B1,
grundskola,15,B1,
framställning,15,B1,
rådgivare,15,B1,
vrida,15,B1,
behaglig,15,B1,
fästa,15,B1,
målning,15,B1,
underskott,15,B1,
framme,15,B1,
imperium,15,B1,
lönsam,15,B1,
söder,15,B1,
successivt,15,B1,
hänvisning,15,B1,
konsekvent,15,B1,
handlingsplan,15,B1,
tvåa,15,B1,
häva,15,B1,
upphäva,15,B1,
färdighet,15,B1,
självmord,15,B1,e.g. begå självmord
svärd,15,B1,
stall,15,B1,
styre,15,B1,
ilska,15,B1,
dumt,15,B1,
offentliggöra,15,B1,
privatperson,15,B1,
kompensera,15,B1,
överraskning,15,B1,
borta,66,A1,
tröja,15,B1,
komponent,15,B1,
festival,15,B1,
lågkonjunktur,15,B1,
återställa,15,B1,
skandal,15,B1,
med hänvisning till,15,B1,
förutse,15,B1,
minst sagt,15,B1,
stötta,15,B1,
fantastiskt,15,B1,
karl,15,B1,
aggressiv,15,B1,
härmed,15,B1,
avsaknad,15,B1,
kemisk,15,B1,
saknad,15,B1,
raket,15,B1,
ton,15,B1,
tunnelbana,15,B1,
värma,15,B1,
kommunistparti,15,B1,
marginal,15,B1,
respektive,15,B1,
gravid,15,B1,
kniv,15,B1,
ramla,15,B1,
villa,15,B1,
dryg,15,B1,
lampa,15,B1,
back,15,B1,
kusin,15,B1,
knapp,15,B1,
skynda,15,B1,e.g. skynda sig
privatliv,15,B1,
toalett,15,B1,
bada,15,B1,
lustig,15,B1,
provins,15,B1,
orättvis,15,B1,
sexualitet,15,B1,
upptäckt,15,B1,
kreativitet,15,B1,
lagråd,15,B1,
referera,15,B1,
teologi,15,B1,
arkitektur,15,B1,
förvalta,15,B1,
rättsväsende,15,B1,
poet,15,B1,
stuga,15,B1,
regna,15,B1,
spekulera,15,B1,
bonus,15,B1,
längtan,15,B1,
rymd,15,B1,e.g. rymden
fruktansvärt,15,B1,
bad,15,B1,
förhör,15,B1,
likvärdig,15,B1,
upplösa,15,B1,
blockera,14,B1,
fröken,14,B1,
hysa,14,B1,
klipp,14,B1,
äganderätt,14,B1,
akademi,14,B1,
benämna,14,B1,
indisk,14,B1,
rosa,14,B1,
tycke,14,B1,
avlägsen,14,B1,
konstigt,14,B1,
marknadsekonomi,14,B1,
uppta,14,B1,
utland,14,B1,
erinra,14,B1,
finanser,14,B1,(plural)
lärande,14,B1,
råvara,14,B1,
förenlig,14,B1,
klättra,14,B1,e.g. klättra upp
brottsling,14,B1,
delaktig,14,B1,
rusa,14,B1,
änka,14,B1,
plugga,14,B1,
prins,14,B1,
mystisk,14,B1,
same,14,B1,
bar,14,B1,
indirekt,14,B1,
webbsida,14,B1,
avveckla,14,B1,
bygge,14,B1,
föredrag,14,B1,
bibehålla,14,B1,
näring,14,B1,
poesi,14,B1,
smyga,14,B1,
förort,14,B1,
genetisk,14,B1,
sorglig,14,B1,
fransman,14,B1,
genre,14,B1,
lat,14,B1,
lastbil,14,B1,
vårda,14,B1,
lista,14,B1,
debattör,14,B1,
premiär,14,B1,
redskap,14,B1,
vila,14,B1,
novell,14,B1,
väsentligt,14,B1,
matte,14,B1,
anförande,14,B1,
hyra,14,B1,
mogen,14,B1,
osynlig,14,B1,
besvärlig,14,B1,
dansk,14,B1,
överskott,14,B1,
kompromiss,14,B1,
uppskattning,14,B1,
kvart,14,B1,
spekulation,14,B1,
begriplig,14,B1,
träff,14,B1,
flykt,14,B1,
poker,14,B1,
uppgörelse,14,B1,
besvikelse,14,B1,
gradvis,14,B1,
acceptabel,14,B1,
lugna,14,B1,e.g. lugna sig
skräck,14,B1,
komplett,14,B1,
norr om,14,B1,
förhållandevis,14,B1,
hugga,14,B1,
massmedium,14,B1,(vanligast massmedia)
varpå,14,B1,
åtala,14,B1,
gris,14,B1,
medverkan,14,B1,
märkligt,14,B1,
uppehållstillstånd,14,B1,
original,14,B1,
utdelning,14,B1,
julklapp,14,B1,
klapp,14,B1,
långvarig,14,B1,
still,14,B1,
sammansättning,14,B1,
oändlig,14,B1,
oerhörd,14,B1,
rast,14,B1,
skapare,14,B1,
benämning,14,B1,
transportera,14,B1,
uppdelning,14,B1,
väsen,14,B1,
islamist,14,B1,
självklarhet,14,B1,
beaktande,14,B1,
i kombination med,14,B1,
reta,14,B1,
trakt,14,B1,
inledningsvis,14,B1,
krog,14,B1,
enig,14,B1,
ärva,14,B1,
jätte,14,B1,
börda,14,B1,
föregå,14,B1,
publicering,14,B1,
skifte,14,B1,
aktivist,14,B1,
guide,14,B1,
smälta,14,B1,
styrka,14,B1,
frysa,14,B1,
noggrann,14,B1,
systematisk,14,B1,
tillträde,14,B1,
val,14,B1,
oväntat,14,B1,
kompetent,14,B1,
prostitution,14,B1,
skick,14,B1,
inköp,14,B1,
ficka,14,B1,
nederlag,14,B1,
ansökning,14,B1,
verkligt,14,B1,
story,14,B1,
byrå,14,B1,
dryck,14,B1,
smidig,14,B1,
synvinkel,14,B1,
så gott som,14,B1,
försvaga,14,B1,
gräs,14,B1,
simma,14,B1,
fysik,14,B1,
hockey,14,B1,
produktivitet,14,B1,
incitament,14,B1,
kontrast,14,B1,
läpp,14,B1,
progressiv,14,B1,
anmärkningsvärd,14,B1,
mobil,14,B1,
tull,14,B1,
fotografera,14,B1,
skärm,14,B1,
databas,14,B1,
fynd,14,B1,
bekymmer,14,B1,
underhåll,14,B1,
i gång,14,B1,
tätt,14,B1,
överlägsen,14,B1,
grek,14,B1,
kedja,13,B1,
sår,13,B1,
uppenbarelse,13,B1,
utfall,13,B1,
naiv,13,B1,
still,13,B1,
morgondag,13,B1,
nöd,13,B1,
motorväg,13,B1,
utvecklingsland,13,B1,
avhandling,13,B1,
godis,13,B1,
ko,13,B1,
påvisa,13,B1,
trampa,13,B1,
ambassadör,13,B1,
torka,13,B1,
så att säga,13,B1,
titt,13,B1,
spränga,13,B1,
halva,13,B1,
känneteckna,13,B1,
ombud,13,B1,
ortodox,13,B1,
problematisk,13,B1,
virus,13,B1,
himmelsk,13,B1,
uppsats,13,B1,
alltjämt,13,B1,
jämt,13,B1,
hungrig,13,B1,
elak,13,B1,
bosättning,13,B1,
miljövänlig,13,B1,
förfogande,13,B1,e.g. till förfogande
lucka,13,B1,
procentenhet,13,B1,
sammanträde,13,B1,
musikalisk,13,B1,
självförtroende,13,B1,
cool,13,B1,
fördjupa,13,B1,
ingång,13,B1,
sed,13,B1,
taxi,13,B1,
vänja,13,B1,e.g. vänja sig
författning,13,B1,
huvudperson,13,B1,
hypotes,13,B1,
panik,13,B1,
stämma,13,B1,
avslutning,13,B1,
deklaration,13,B1,
sväng,13,B1,
presidentval,13,B1,
undgå,13,B1,
illusion,13,B1,
international,13,B1,
intrång,13,B1,
skattepengar,13,B1,
stolthet,13,B1,
utnyttjande,13,B1,
överlevnad,13,B1,
problematik,13,B1,
sällsynt,13,B1,
dumhet,13,B1,
flöde,13,B1,
jättebra,13,B1,
i jämförelse med,13,B1,
medborgarskap,13,B1,
snack,13,B1,
parallellt,13,B1,
påföljd,13,B1,
söder om,13,B1,
strax efter,13,B1,
talang,13,B1,
varmt,13,B1,
pjäs,13,B1,
kansli,13,B1,
lagligt,13,B1,
sand,13,B1,
fildelare,13,B1,
liga,13,B1,
parlamentarisk,13,B1,
vittnesbörd,13,B1,
avrätta,13,B1,
fiske,13,B1,
gynnsam,13,B1,
dokumentär,13,B1,
dödlig,13,B1,
beteckning,13,B1,
jämte,13,B1,
uttryckligen,13,B1,
distrikt,13,B1,
påse,13,B1,
baksida,13,B1,
plånbok,13,B1,
uppsägning,13,B1,
fullfölja,13,B1,
foga,13,B1,
psykologi,13,B1,
hjul,13,B1,
klänning,13,B1,
anteckning,13,B1,
trä,13,B1,
belägg,13,B1,
blunda,13,B1,
vik,13,B1,
bråk,13,B1,
värva,13,B1,
biblisk,13,B1,
sikta,13,B1,
uteslutande,13,B1,
pryl,13,B1,
begravning,13,B1,
naturligt,13,B1,
bredd,13,B1,
frälsning,13,B1,
funktionshinder,13,B1,
såvida,13,B1,
avvika,13,B1,
influensa,13,B1,
medvetenhet,13,B1,
muskel,13,B1,
ointressant,13,B1,
samhällelig,13,B1,
apropå,13,B1,
cirkel,13,B1,
rekord,13,B1,
bemärkelse,13,B1,
djävul,13,B1,
tålamod,13,B1,
utspel,13,B1,
verkställa,13,B1,
hjälpmedel,13,B1,
riksdagsval,13,B1,
svära,13,B1,
tagg,13,B1,
deklarera,13,B1,
meningsfull,13,B1,
i anslutning till,13,B1,
